id_pan,pourcentage,nbr_point_t
0,0.2692307692307692,26
1,0.18181818181818182,22
2,0.38461538461538464,13
3,0.2222222222222222,63
4,0.2777777777777778,18
5,0.038461538461538464,26
7,0.45454545454545453,11
9,0.053763440860215055,93
10,0.3611111111111111,36
11,0.08620689655172414,58
13,0.11764705882352941,34
14,0.08928571428571429,56
15,0.16,25
17,0.46153846153846156,13
19,0.30434782608695654,23
20,0.35,40
22,0.3142857142857143,35
23,0.3333333333333333,12
24,0.19642857142857142,56
25,0.21666666666666667,60
26,0.43478260869565216,23
27,0.4444444444444444,18
29,0.3333333333333333,15
30,0.4444444444444444,18
31,0.12280701754385964,57
32,0.30434782608695654,23
33,0.18181818181818182,33
34,0.3684210526315789,19
35,0.2727272727272727,22
37,0.16666666666666666,24
38,0.2903225806451613,31
39,0.13043478260869565,46
40,0.0625,32
41,0.5714285714285714,21
42,0.11764705882352941,34
