id_pan,pourcentage,nbr_point_t
0,0.6060606060606061,33
1,0.06756756756756757,148
2,0.23076923076923078,13
3,0.043478260869565216,46
4,0.59375,32
7,0.2,20
8,0.6923076923076923,13
9,0.22727272727272727,44
10,0.02608695652173913,115
11,0.19047619047619047,42
13,0.6153846153846154,13
14,0.058823529411764705,17
16,0.2727272727272727,11
18,0.1896551724137931,58
19,0.375,16
20,0.3333333333333333,15
21,0.5714285714285714,28
23,0.1590909090909091,44
24,0.4117647058823529,17
25,0.6153846153846154,13
26,0.07017543859649122,57
27,0.3076923076923077,13
29,1.0,14
30,0.5714285714285714,21
31,0.04807692307692308,104
34,0.12903225806451613,62
35,0.7692307692307693,13
36,0.35714285714285715,14
37,0.8181818181818182,11
39,0.12727272727272726,110
40,0.1111111111111111,18
41,0.16,25
42,0.625,16
44,0.4583333333333333,24
45,0.11290322580645161,62
46,0.08695652173913043,23
47,0.65,20
48,0.36363636363636365,11
49,0.6923076923076923,13
50,0.4444444444444444,18
53,0.35714285714285715,28
54,0.3333333333333333,15
55,0.5454545454545454,11
56,0.4,40
59,0.5714285714285714,21
60,0.09523809523809523,42
61,0.7692307692307693,13
62,0.35714285714285715,14
63,0.38461538461538464,13
64,0.48,25
68,0.14084507042253522,71
71,0.07142857142857142,42
72,0.35714285714285715,14
74,0.2962962962962963,27
75,0.35714285714285715,14
76,0.2777777777777778,18
77,0.16666666666666666,30
78,0.23529411764705882,17
80,0.4411764705882353,34
83,0.6428571428571429,14
84,0.16,50
85,0.20512820512820512,39
