id_pan,pourcentage,nbr_point_t
0,0.1111111111111111,36
1,0.27586206896551724,29
2,0.2,25
3,0.15,20
4,0.4090909090909091,22
5,0.25,20
6,0.7,20
7,0.25,16
8,0.3333333333333333,15
10,0.2857142857142857,14
11,0.08620689655172414,58
12,0.4166666666666667,12
13,0.6363636363636364,11
14,0.56,25
16,0.08823529411764706,34
17,0.5454545454545454,11
18,0.45454545454545453,11
19,0.16666666666666666,12
21,0.35714285714285715,28
22,0.5714285714285714,14
23,0.03225806451612903,31
25,0.3055555555555556,36
26,0.20588235294117646,34
28,0.3548387096774194,31
29,0.26666666666666666,15
30,0.23076923076923078,13
