id_pan,pourcentage,nbr_point_t
0,0.22916666666666666,48
1,0.5555555555555556,27
2,0.9166666666666666,12
3,0.7333333333333333,15
4,0.17647058823529413,17
5,0.23076923076923078,26
8,0.14285714285714285,35
9,0.7857142857142857,14
10,0.20833333333333334,24
11,0.29411764705882354,17
12,0.2857142857142857,35
13,0.1875,32
14,0.2857142857142857,42
15,0.46153846153846156,13
16,0.23076923076923078,13
17,0.22727272727272727,44
18,0.3333333333333333,15
19,0.3333333333333333,12
20,0.4090909090909091,22
21,0.09090909090909091,33
23,0.21428571428571427,28
24,0.36363636363636365,22
25,0.09174311926605505,109
