id_pan,pourcentage,nbr_point_t
0,0.7058823529411765,17
1,0.3870967741935484,31
2,0.2,15
3,0.46153846153846156,13
4,0.0847457627118644,59
5,0.4782608695652174,23
6,0.2727272727272727,11
7,1.0,15
8,0.9666666666666667,30
9,0.36,50
10,0.5625,16
11,0.4,15
12,0.25806451612903225,31
13,0.36363636363636365,22
14,0.4666666666666667,15
15,0.35714285714285715,28
16,0.1509433962264151,53
17,0.16666666666666666,24
18,0.18181818181818182,33
19,0.04477611940298507,67
20,0.38461538461538464,13
21,0.3448275862068966,29
22,0.23076923076923078,13
