id_pan,pourcentage,nbr_point_t
0,0.11627906976744186,43
1,0.041666666666666664,72
2,0.08333333333333333,36
3,0.3125,16
4,0.0625,16
8,0.16981132075471697,53
9,0.0661764705882353,136
10,0.06976744186046512,43
11,0.08196721311475409,61
13,0.14285714285714285,21
14,0.06666666666666667,30
15,0.3023255813953488,43
16,0.09523809523809523,21
20,0.35294117647058826,17
21,0.11764705882352941,34
23,0.2,15
24,0.08695652173913043,23
25,0.07407407407407407,27
26,0.2653061224489796,49
27,0.47368421052631576,19
28,0.3448275862068966,29
29,0.07407407407407407,27
30,0.6875,32
31,0.07894736842105263,38
33,0.25,16
34,0.06818181818181818,44
35,0.3333333333333333,12
37,0.1,20
39,0.38461538461538464,13
40,0.21739130434782608,23
41,0.41379310344827586,29
42,0.2903225806451613,31
43,0.09090909090909091,22
44,0.23809523809523808,21
45,0.32,25
48,0.25,12
49,0.2222222222222222,18
50,0.09090909090909091,11
51,0.375,16
52,0.2727272727272727,44
53,0.5,12
