id_pan,pourcentage,nbr_point_t
0,0.27906976744186046,43
1,0.11842105263157894,76
2,0.3157894736842105,19
4,0.029850746268656716,134
6,0.0392156862745098,102
7,0.7142857142857143,14
10,0.25,32
11,0.2127659574468085,47
12,0.07,100
13,0.225,40
17,0.2857142857142857,21
19,0.10256410256410256,39
20,0.8095238095238095,21
21,0.37037037037037035,27
22,1.0,12
23,0.09090909090909091,11
24,0.5333333333333333,15
25,0.038834951456310676,103
26,0.15,20
27,0.3,30
28,0.20930232558139536,43
29,0.10526315789473684,19
30,0.010101010101010102,99
32,0.18181818181818182,22
34,0.014285714285714285,140
35,0.72,25
36,0.5,36
37,0.3684210526315789,19
38,0.10416666666666667,48
40,0.10606060606060606,66
41,0.6428571428571429,28
42,0.6521739130434783,23
43,0.02877697841726619,139
44,0.26666666666666666,30
45,0.4782608695652174,23
46,0.3333333333333333,24
47,0.25,20
48,0.19402985074626866,67
52,0.14285714285714285,14
53,0.14705882352941177,34
54,0.27586206896551724,29
55,0.3333333333333333,12
