id_pan,pourcentage,nbr_point_t
0,0.6470588235294118,34
1,0.26,50
2,0.1557377049180328,122
3,0.07936507936507936,63
4,0.20689655172413793,29
5,0.3,20
6,0.023809523809523808,126
7,0.38235294117647056,34
8,0.12195121951219512,41
9,0.023668639053254437,169
10,0.06521739130434782,46
11,0.1388888888888889,36
12,0.21153846153846154,52
13,0.14285714285714285,14
14,0.05555555555555555,36
15,0.10526315789473684,19
16,0.057971014492753624,69
17,0.3409090909090909,44
18,0.21568627450980393,51
20,0.11764705882352941,68
22,1.0,12
23,0.25,20
24,0.3181818181818182,22
26,0.19811320754716982,106
27,0.4666666666666667,30
28,0.4,15
29,0.2857142857142857,42
30,0.5,24
31,0.4166666666666667,24
32,0.2692307692307692,26
33,0.34285714285714286,35
34,0.5,12
35,0.125,24
37,0.2926829268292683,41
38,0.17307692307692307,52
39,0.2702702702702703,37
40,0.1,20
41,0.6842105263157895,19
42,0.9166666666666666,12
