id_pan,pourcentage,nbr_point_t
0,0.5,26
2,0.125,16
3,0.17777777777777778,45
4,0.16666666666666666,24
5,0.3333333333333333,18
7,0.30434782608695654,23
8,0.09523809523809523,21
9,0.5789473684210527,19
11,0.21428571428571427,28
12,0.36363636363636365,11
13,0.8461538461538461,13
16,0.5769230769230769,26
18,0.07894736842105263,38
19,1.0,18
20,0.5714285714285714,21
21,0.1935483870967742,31
22,0.3076923076923077,26
23,0.2,20
24,0.07291666666666667,96
25,0.5625,16
27,0.6153846153846154,13
30,0.3333333333333333,15
31,0.10344827586206896,29
33,0.43478260869565216,23
34,0.2727272727272727,22
37,0.09090909090909091,33
38,0.14814814814814814,27
39,0.2222222222222222,18
40,0.6206896551724138,29
