world_index,id_fixation,x,y,zoom,etape,id
734,181,259695.47616108035,6246724.379092173,19.0,2,1
735,181,259696.04873092647,6246722.599184666,19.0,2,1
736,181,259697.20907627512,6246717.001021512,19.0,2,1
737,181,259697.9818311505,6246713.899311067,19.0,2,1
738,181,259699.58896652237,6246709.158311266,19.0,2,1
738,182,259689.13909272169,6246703.061795538,19.0,2,1
739,182,259689.21628278415,6246701.638661423,19.0,2,1
740,182,259689.0367706136,6246699.681424354,19.0,2,1
741,182,259689.1797379538,6246698.779073292,19.0,2,1
742,182,259690.29976268543,6246698.01455339,19.0,2,1
742,183,259676.93093249056,6246705.767099646,19.0,2,1
743,183,259677.36133799184,6246705.346167781,19.0,2,1
744,183,259677.25187435077,6246704.482238765,19.0,2,1
745,183,259675.8384487905,6246701.705760652,19.0,2,1
746,183,259674.96103116104,6246700.35222445,19.0,2,1
747,183,259673.0432391034,6246698.726178111,19.0,2,1
747,184,259677.69567449763,6246710.931414669,19.0,2,1
748,184,259676.7286460054,6246710.506811664,19.0,2,1
749,184,259674.61688786108,6246709.298948639,19.0,2,1
750,184,259673.4866975501,6246708.533852118,19.0,2,1
751,184,259671.0566115518,6246707.058803072,19.0,2,1
751,185,259682.0514458269,6246714.751054202,19.0,2,1
752,185,259678.7642391876,6246712.418630376,19.0,2,1
753,185,259678.8229261873,6246711.879991354,19.0,2,1
754,185,259677.95965494376,6246709.831590823,19.0,2,1
755,185,259677.84930288236,6246708.853875659,19.0,2,1
755,186,259680.6441879543,6246714.532284956,19.0,2,1
756,186,259679.91595660764,6246713.014642987,19.0,2,1
757,186,259679.4288630525,6246712.512484727,19.0,2,1
758,186,259679.1621660902,6246711.388289118,19.0,2,1
759,186,259679.4858928065,6246710.3641369045,19.0,2,1
759,187,259679.33561308324,6246708.010243631,19.0,2,1
760,187,259679.4251726909,6246707.96707409,19.0,2,1
761,187,259679.5159453342,6246708.175252766,19.0,2,1
762,187,259679.14017768597,6246707.406792635,19.0,2,1
800,198,259673.8419290197,6246708.201027636,19.0,2,1
801,198,259673.21330326505,6246708.163989475,19.0,2,1
802,198,259672.78260731863,6246708.30651047,19.0,2,1
802,199,259681.20525959056,6246703.465928569,19.0,2,1
