world_index,id_fixation,x,y,zoom,etape,id
1721,296,259687.9922957837,6246675.602949232,19.0,2,1
1722,296,259686.19968557384,6246675.493372402,19.0,2,1
1723,296,259684.5359817432,6246674.34872604,19.0,2,1
1724,296,259682.39083949485,6246674.038360867,19.0,2,1
1728,297,259625.2837587359,6246694.098647318,19.0,2,1
1811,314,259625.76567553385,6246697.38244443,19.0,2,1
1812,314,259625.99341867972,6246700.268595475,19.0,2,1
1813,314,259627.3969178508,6246704.356151412,19.0,2,1
1814,314,259629.5896247592,6246709.812254867,19.0,2,1
1852,317,259679.10836540253,6246665.180493664,19.0,2,1
1871,320,259674.88381576136,6246683.143425019,19.60556049159318,2,1
1923,323,259676.0880094905,6246670.20846029,19.0,2,1
1924,323,259675.94010458325,6246673.452595627,19.0,2,1
1925,323,259675.91500670768,6246675.0438430095,19.0,2,1
1926,323,259676.2914748412,6246675.818915039,19.0,2,1
