world_index,id_fixation,x,y,zoom,etape,id
153,34,260316.32919212757,6255334.282332122,19.0,1,1
154,34,260313.93151638785,6255333.955350712,19.0,1,1
154,35,260320.808915184,6255333.638690782,19.0,1,1
155,35,260316.65021941272,6255332.706451636,19.0,1,1
156,35,260315.15003618595,6255332.097599641,19.0,1,1
157,35,260312.07581124635,6255330.438359269,19.0,1,1
158,35,260309.8447655818,6255329.256578643,19.0,1,1
159,35,260308.4004674136,6255328.961330498,19.0,1,1
159,36,260315.8382715308,6255331.90235645,19.0,1,1
160,36,260313.98533416048,6255331.541892697,19.0,1,1
161,36,260312.13278974532,6255331.375230588,19.0,1,1
162,36,260311.1636085422,6255330.959911148,19.0,1,1
165,37,260280.41768586947,6255334.823431386,19.0,1,1
166,37,260278.07457964277,6255333.918389435,19.0,1,1
167,37,260275.6125446809,6255332.717676486,19.0,1,1
170,38,260331.8823917473,6255339.100214455,19.0,1,1
171,38,260330.46314019963,6255337.784965754,19.0,1,1
172,38,260328.1598420397,6255336.143542907,19.0,1,1
179,39,260327.5593382068,6255340.211205489,19.0,1,1
180,39,260328.1941829041,6255340.253702309,19.0,1,1
181,39,260325.0959364444,6255338.293024748,19.0,1,1
182,40,260327.97609278728,6255346.388467098,19.0,1,1
183,40,260319.445228717,6255355.808025745,18.39772395881359,1,1
184,40,260320.62496929936,6255354.821978803,18.39772395881359,1,1
185,40,260300.36390491872,6255383.656021396,17.427019817169978,1,1
185,41,260305.4614494907,6255383.229307141,17.427019817169978,1,1
186,41,260297.0071216986,6255377.923857076,17.427019817169978,1,1
247,56,260270.96025162216,6255337.383784285,17.0,1,1
248,56,260272.55722141467,6255340.04983986,17.0,1,1
258,57,260280.1308000841,6255332.594463813,17.0,1,1
264,58,260288.2407796393,6255337.932418036,17.0,1,1
265,58,260281.63469075735,6255335.790778214,17.0,1,1
266,58,260289.2401842202,6255341.862345561,17.0,1,1
266,59,260297.82355515484,6255334.474779908,17.0,1,1
267,59,260289.149360322,6255329.456733902,17.0,1,1
268,59,260283.72364041707,6255326.021622355,17.0,1,1
385,78,259514.96587464257,6255997.980275633,13.0,1,3
386,78,259324.7870556744,6255952.187809228,13.0,1,3
