world_index,id_fixation,x,y,zoom,etape,id
1060,293,273631.662926898,6250829.193665477,19.0,3,1
1061,293,273628.12496360805,6250824.651041831,19.0,3,1
1061,294,273619.44388351723,6250815.045818752,19.0,3,1
1062,294,273621.2417900794,6250809.341711469,19.0,3,1
1064,294,273625.41432470654,6250811.060189832,19.0,3,1
1068,296,273613.2529432251,6250813.556873188,19.0,3,1
1072,297,273615.33893717855,6250813.902575496,19.0,3,1
1079,298,273604.0902880365,6250805.960859769,19.0,3,1
1157,323,273387.41053985234,6250963.760505139,17.449480816627045,3,6
1158,323,273309.6481202024,6251002.303637871,17.057694009986403,3,6
1159,323,273308.8579556608,6250996.930950709,17.057694009986403,3,6
1160,323,273293.955309282,6251002.738360226,17.00001583510767,3,6
1160,324,273424.6118435729,6250989.308436231,17.00001583510767,3,6
1161,324,273420.8290594801,6250988.123305002,17.00001583510767,3,6
1162,324,273419.66681266006,6250980.939419108,17.0,3,6
1163,324,273422.87199417985,6250973.867610015,17.0,3,6
1169,326,273135.80052864325,6250918.953723087,17.0,3,6
1170,326,273135.13127474143,6250920.4719224535,17.0,3,6
1171,326,273134.0368091805,6250920.43355807,17.0,3,6
1171,327,273088.9884973498,6250870.374726179,17.0,3,6
1172,327,273087.7079931455,6250870.742532214,17.0,3,6
1173,327,273086.95245995733,6250863.940350162,17.0,3,6
1173,328,273175.9545497179,6250841.434295812,17.0,3,6
1174,328,273175.7222277901,6250838.972978421,17.0,3,6
1175,328,273175.10188826383,6250838.289954003,17.0,3,6
1175,329,273246.1737242686,6250829.944739526,17.0,3,6
1176,329,273206.6098500955,6250834.844604551,17.0,3,6
1177,329,273206.886422192,6250833.3982134685,17.0,3,6
1178,329,273150.80770396214,6250839.7736849375,17.0,3,6
1179,330,273231.8091923835,6250820.1747897845,17.0,3,6
1180,330,273150.1736018932,6250831.104882133,17.0,3,6
1181,330,273146.867789681,6250830.94265999,17.0,3,6
1181,331,272967.93787613005,6250906.2893869,17.0,3,6
1182,331,272949.97821452084,6250902.04027841,17.0,3,6
1183,331,272960.4211176386,6250902.83055396,17.0,3,6
1184,331,272957.1908553282,6250902.294836475,17.0,3,6
1185,331,272956.6136896152,6250899.245598358,17.0,3,6
1186,332,272903.83506125904,6250912.561729848,17.0,3,6
1187,332,272903.1073253776,6250905.572723242,17.0,3,6
1188,332,272906.57202815666,6250906.257439076,17.0,3,6
1190,333,272809.07230544725,6250930.992000371,16.68797445614814,3,6
1214,339,272843.28386450256,6250946.007983148,16.0,3,6
1215,339,272850.49134563777,6250936.676596429,16.0,3,6
1216,339,272850.3912274956,6250935.689270948,16.0,3,6
1217,339,272852.5999088857,6250925.998227742,16.0,3,6
1218,339,272855.7405432483,6250919.650190809,16.0,3,6
1398,390,273453.14912959764,6250784.588652508,12.0,3,6
1293,361,277001.42138855264,6253329.064989407,13.068200025469878,3,5
1323,368,277241.2003232416,6253217.612338652,13.0,3,5
1373,383,276619.6769024048,6252950.349163178,11.35893844265746,3,5
1374,383,276553.88027126854,6253016.785242215,11.35893844265746,3,5
