world_index,id_fixation,x,y,zoom,etape,id
1436,400,256239.1116028959,6255885.518488733,19.0,4,1
1437,400,256236.91334336012,6255886.088726476,19.0,4,1
1438,400,256236.29662585544,6255885.823731607,19.0,4,1
1438,401,256232.81171151288,6255874.807790942,19.0,4,1
1439,401,256226.67897984028,6255876.097726069,19.0,4,1
1440,401,256227.52873684312,6255874.037197319,19.0,4,1
1441,401,256233.38511852437,6255871.05922931,19.0,4,1
1442,401,256233.548126578,6255870.857470324,19.0,4,1
1443,401,256233.4407302228,6255870.799558557,19.0,4,1
1443,402,256218.05409233813,6255853.870159472,19.0,4,1
1444,402,256216.71196251296,6255853.563686477,19.0,4,1
1445,402,256211.810854839,6255854.737682747,19.0,4,1
1446,402,256217.73116861717,6255851.940484792,19.0,4,1
1447,402,256215.23993537805,6255854.067997448,19.0,4,1
1448,402,256217.6090108157,6255852.047389953,19.0,4,1
1448,403,256222.7533235671,6255858.922744956,19.0,4,1
1449,403,256222.3781538941,6255858.651657146,19.0,4,1
1450,403,256217.0405072013,6255861.387252972,19.0,4,1
1451,403,256221.06054105423,6255857.775715235,19.0,4,1
1454,404,256259.04435617497,6255815.635303663,19.0,4,1
1458,405,256252.33761951563,6255817.57005259,19.0,4,1
1463,407,256234.968922603,6255890.619257924,18.000427608925268,4,1
1464,407,256231.6539104283,6255891.732763524,18.000427608925268,4,1
1465,407,256233.25868711623,6255881.623057921,18.0,4,1
1466,407,256231.8560421956,6255879.096621024,18.0,4,1
1467,407,256229.58465882903,6255883.079905028,18.0,4,1
1468,407,256231.1360799924,6255875.421290006,18.0,4,1
1468,408,256248.57382424577,6255867.75041222,18.0,4,1
1469,408,256248.8395986177,6255873.403161972,18.0,4,1
1470,408,256243.08909272603,6255867.2628232,18.0,4,1
1471,408,256242.67095426,6255868.21885749,18.0,4,1
1472,408,256242.5849141637,6255868.253954366,18.0,4,1
1472,409,256256.57548485545,6255868.277518863,18.0,4,1
1473,409,256259.80000660333,6255875.5038618455,18.0,4,1
1474,409,256258.82117237116,6255873.494959716,18.0,4,1
1474,410,256231.1886334745,6255886.982654577,18.0,4,1
1475,410,256233.43045977855,6255888.318450136,18.0,4,1
1476,410,256228.6544826973,6255894.805798218,18.0,4,1
1477,410,256224.44501028463,6255884.832942089,18.0,4,1
1478,410,256226.5751348117,6255889.381043616,18.0,4,1
1486,412,256210.55343012465,6255890.858456799,18.0,4,1
1487,412,256226.4041480597,6255909.401601018,18.0,4,1
1488,413,256198.53863800492,6255888.420396374,18.0,4,1
1489,413,256203.90175844345,6255897.505720548,18.0,4,1
1668,459,256223.6297550632,6255911.798312305,14.949575302208824,4,1
1669,459,256176.82951142656,6255820.492154588,14.154648431944803,4,1
1606,444,256148.57320597087,6256509.423025313,16.0,4,2
1607,444,256151.43624313656,6256517.854271344,16.0,4,2
1608,444,256145.5923505956,6256518.417205246,16.0,4,2
1609,444,256149.0336810848,6256513.8925144505,16.0,4,2
1610,444,256148.8569537704,6256510.443410283,16.0,4,2
1610,445,256228.03120067224,6256562.26331346,16.0,4,2
1611,445,256219.4507000188,6256578.600082765,16.0,4,2
1612,445,256219.57658235184,6256581.685993849,16.0,4,2
1613,445,256219.6430088598,6256579.2749576345,16.0,4,2
1613,446,256245.5035591502,6256602.902497484,16.0,4,2
1614,446,256246.89332197545,6256592.971888308,16.0,4,2
1615,446,256248.04143445892,6256591.790818845,16.0,4,2
1616,446,256244.96435632315,6256601.504311751,16.0,4,2
1617,446,256244.30036460352,6256605.988254803,16.0,4,2
1630,450,256315.5090155927,6256631.54847417,15.0,4,2
1641,453,256196.20208679012,6256557.542271094,15.0,4,2
1642,453,256197.4625502809,6256556.693180407,15.0,4,2
1643,453,256210.76233996172,6256555.268393317,15.0,4,2
1644,453,256221.12788216688,6256551.130882955,15.0,4,2
1645,453,256218.54353563857,6256536.137866551,15.0,4,2
