world_index,id_fixation,x,y,zoom,etape,id
162,25,260349.0466392055,6255337.187300167,19.0,1,1
163,25,260347.54317565737,6255337.390135508,19.0,1,1
164,25,260345.9815889148,6255337.806569745,19.0,1,1
165,25,260343.90001997817,6255338.746554806,19.0,1,1
166,25,260341.5425794304,6255339.6810235465,19.0,1,1
167,25,260339.1791078751,6255340.24855118,19.0,1,1
168,26,260343.4019920184,6255334.496392313,19.0,1,1
169,26,260341.4471938352,6255334.426640636,19.0,1,1
170,26,260340.08300726573,6255334.28104434,19.0,1,1
171,26,260338.848786346,6255333.974494463,19.0,1,1
171,27,260329.22558770343,6255337.660339168,19.0,1,1
172,27,260327.87433448443,6255337.351405933,19.0,1,1
173,27,260326.63345041187,6255336.747205331,19.0,1,1
174,27,260325.47460854385,6255336.048496877,19.0,1,1
175,27,260324.3878654062,6255335.789133654,19.0,1,1
185,30,260304.63882720948,6255302.537995799,19.0,1,1
186,30,260303.1870116381,6255304.178217355,19.0,1,1
187,30,260299.2247080245,6255305.242252383,19.0,1,1
188,30,260295.60162722872,6255305.989829297,19.0,1,1
189,30,260292.189922142,6255306.821237002,19.0,1,1
190,30,260288.62339272007,6255307.464455488,19.0,1,1
190,31,260314.27945255933,6255306.2791190455,19.0,1,1
191,31,260311.78225665272,6255306.589157468,19.0,1,1
192,31,260306.677410268,6255308.356004555,19.0,1,1
193,31,260307.069237823,6255306.840880489,19.0,1,1
194,31,260310.03159013548,6255303.451773528,19.0,1,1
195,31,260310.1720459796,6255302.1228877865,19.0,1,1
196,31,260310.0268575885,6255300.804957806,19.0,1,1
198,32,260281.98943819135,6255310.717489977,19.0,1,1
199,32,260281.9931285529,6255311.3683774965,19.0,1,1
200,32,260282.01889274377,6255311.766033175,19.0,1,1
201,32,260281.96025699907,6255311.557104893,19.0,1,1
202,33,260280.9344902521,6255310.935471178,19.0,1,1
203,33,260281.00963011372,6255311.109168039,19.0,1,1
204,33,260281.1055965992,6255310.904352972,19.0,1,1
205,33,260280.67056106092,6255309.966386078,19.0,1,1
206,33,260280.13491191535,6255309.147587108,19.0,1,1
394,69,260786.73510411265,6255335.869597865,13.0,1,2
395,69,260753.28566698643,6255341.844293221,13.0,1,2
