world_index,id_fixation,x,y,zoom,etape,id
2634,588,256209.9139577452,6255844.528220625,19.0,4,1
2635,588,256208.6823508315,6255842.783409994,19.0,4,1
2636,588,256207.38703392603,6255841.679011637,19.0,4,1
2638,589,256231.9851388648,6255844.880015872,19.0,4,1
2639,589,256226.9384498445,6255840.424557798,19.0,4,1
2640,589,256226.0441351429,6255838.713287171,19.0,4,1
2640,590,256230.16879757988,6255848.936280618,19.0,4,1
2641,590,256229.2873649737,6255847.211440225,19.0,4,1
2642,590,256223.70265199183,6255844.245754201,19.0,4,1
2643,590,256220.2813109611,6255843.883964224,19.0,4,1
2645,592,256180.366052862,6255840.246863045,19.0,4,1
2646,592,256179.3863131244,6255840.65870355,19.0,4,1
2647,592,256175.8741054828,6255842.945132401,19.0,4,1
2647,593,256175.16561586197,6255838.393263631,19.0,4,1
2648,593,256174.46390044643,6255837.962548463,19.0,4,1
2649,593,256175.4758625076,6255836.109141255,19.0,4,1
2650,593,256176.8898945856,6255833.911953803,19.0,4,1
2651,593,256175.1529131591,6255831.819903215,19.0,4,1
2652,593,256173.4787960166,6255830.86644449,19.0,4,1
2656,594,256250.80254870417,6255817.451768814,19.0,4,1
2657,594,256259.55706015587,6255818.442188816,19.0,4,1
2658,595,256252.56773747757,6255818.421911049,19.0,4,1
2659,595,256254.14934784855,6255819.54435758,19.0,4,1
2660,595,256256.2003175373,6255823.051162088,19.0,4,1
2661,595,256258.24385524783,6255821.706102184,19.0,4,1
2662,595,256258.97210367955,6255820.871234765,19.0,4,1
2663,595,256254.94069121184,6255817.9094313085,19.0,4,1
2663,596,256256.84924028057,6255818.817875311,19.0,4,1
2664,596,256253.84180063408,6255816.925796189,19.0,4,1
2665,596,256250.41916114272,6255815.572778943,19.0,4,1
2666,596,256245.97488947617,6255815.13489448,19.0,4,1
2667,596,256243.5094033429,6255816.113243925,19.0,4,1
2667,597,256224.27293244703,6255841.877925969,19.0,4,1
2668,597,256219.5986624136,6255843.000545486,19.0,4,1
2669,597,256207.13585015023,6255845.1885070335,19.0,4,1
2669,598,256223.9240566001,6255847.232659805,19.0,4,1
2670,598,256218.9142199404,6255848.056609903,19.0,4,1
2671,598,256211.66945931944,6255850.089710811,19.0,4,1
2679,601,256211.9298689991,6255859.693972859,19.0,4,1
2680,601,256212.98459483328,6255857.922733856,19.0,4,1
2681,601,256214.35612795583,6255856.215441901,19.0,4,1
2681,602,256219.38793593485,6255850.581932004,19.0,4,1
2682,602,256219.3338106321,6255850.664061769,19.0,4,1
2683,602,256194.29977114877,6255853.119337038,18.4192354340624,4,1
2684,602,256193.9169098217,6255853.567246845,18.4192354340624,4,1
2686,603,256184.97341206676,6255847.238784128,18.045505230420268,4,1
2687,603,256185.4582881565,6255852.496697114,18.0,4,1
2688,603,256187.9083465283,6255852.649616471,18.0,4,1
2689,603,256189.52773185025,6255851.644800214,18.0,4,1
2690,603,256188.0814859912,6255846.399143471,18.0,4,1
2691,603,256186.0595095597,6255844.7974496735,18.0,4,1
2691,604,256188.7787934749,6255850.6910724,18.0,4,1
2692,604,256186.9170060708,6255848.838703106,18.0,4,1
2693,604,256185.46918839111,6255849.608412579,18.0,4,1
2694,604,256180.99267731595,6255846.0786201935,18.0,4,1
2695,604,256179.82378946373,6255845.015796066,18.0,4,1
2711,608,256195.64450612612,6255814.790235729,18.0,4,1
2712,608,256195.71862088732,6255815.634559699,18.0,4,1
2713,608,256195.7850132253,6255816.39481262,18.0,4,1
2714,608,256196.0164809028,6255817.308100223,18.0,4,1
2714,609,256254.8092026416,6255848.467591122,18.0,4,1
2715,609,256256.3112481341,6255850.633064529,18.0,4,1
2716,609,256256.82728369144,6255851.103739392,18.0,4,1
2717,609,256257.21487416467,6255851.427722383,18.0,4,1
2718,609,256257.62115563577,6255851.574798668,18.0,4,1
2719,609,256257.64138428427,6255851.278147417,18.0,4,1
2720,610,256255.89365638827,6255838.926584178,18.0,4,1
2721,610,256255.4478060405,6255839.578624935,18.0,4,1
2722,610,256256.91759503947,6255839.323989987,18.0,4,1
2723,610,256254.17439494547,6255834.634766913,17.449480816627045,4,1
2724,610,256254.02580885816,6255834.461470694,17.449480816627045,4,1
2724,611,256253.8567039781,6255824.917792312,17.449480816627045,4,1
2725,611,256246.9707069061,6255818.203017817,17.05605994309307,4,1
2726,611,256248.30421560808,6255819.061900362,17.05605994309307,4,1
2727,611,256248.02644467063,6255819.765188294,17.000009971942585,4,1
2728,611,256248.26330957317,6255820.539313162,17.000009971942585,4,1
2729,611,256248.46990005215,6255820.413303562,17.000009971942585,4,1
2734,613,256223.1228606523,6255875.866714258,17.0,4,1
2735,613,256221.293603102,6255876.181240697,17.0,4,1
2736,613,256218.85912625675,6255877.75940844,17.0,4,1
2737,613,256213.84843534665,6255877.291116935,17.0,4,1
2738,613,256212.66218912712,6255876.876720086,17.0,4,1
2739,613,256210.5726244072,6255876.995196068,17.0,4,1
2740,614,255833.27224599835,6255784.72992973,17.0,4,4
2747,615,255880.05437852925,6255823.503866637,17.0,4,4
2748,615,255881.4189580539,6255823.864061301,17.0,4,4
2749,615,255881.8164578313,6255825.474750354,17.0,4,4
2750,615,255885.7802478405,6255826.446622446,17.0,4,4
2751,615,255887.1868906529,6255829.7069799965,17.0,4,4
2757,617,255956.8170766656,6255880.461291275,17.0,4,4
2758,617,255957.8189414875,6255880.559931564,17.0,4,4
2759,617,255958.8091885045,6255880.374644661,17.0,4,4
2760,617,255962.0880747453,6255880.010682753,17.0,4,4
2761,617,255961.33421588785,6255881.2810897175,17.0,4,4
2762,617,255960.6167822657,6255883.74302217,17.0,4,4
2816,631,255963.37375570677,6255878.121832698,17.0,4,4
2817,631,255960.9868435216,6255878.935711185,17.0,4,4
2818,631,255952.73150472503,6255883.413580518,17.0,4,4
2820,632,255905.77322577,6255821.690130816,17.0,4,4
2821,632,255898.71291488677,6255820.132336944,17.0,4,4
2822,632,255891.7556949369,6255816.09162169,17.0,4,4
2823,632,255883.17782537465,6255812.089655233,17.0,4,4
2824,632,255865.8711572964,6255806.864641449,17.0,4,4
2824,633,255949.43854043836,6255830.77879938,17.0,4,4
2825,633,255941.35022467215,6255829.741577136,17.0,4,4
2826,633,255933.97879580795,6255825.093336111,17.0,4,4
2827,633,255931.3593225048,6255823.149822575,17.0,4,4
2827,634,255951.17253198853,6255854.245962268,17.0,4,4
2828,634,255947.93143778364,6255853.168914872,17.0,4,4
2829,634,255944.0086517917,6255851.021585743,17.0,4,4
2830,634,255943.1952687692,6255851.35940759,17.0,4,4
2831,634,255943.9187163138,6255854.631220638,17.0,4,4
2832,634,255940.7921599972,6255861.2150790775,17.0,4,4
2832,635,256075.96087781945,6255939.988537339,17.0,4,4
2833,635,256078.43225828017,6255939.330576627,17.0,4,4
2834,635,256078.88186732956,6255964.770748608,17.0,4,4
2835,635,256081.78461005192,6255967.487546654,17.0,4,4
2880,645,256446.8677185038,6256235.980544723,17.0,4,4
2881,645,256445.0612865231,6256236.338202263,17.0,4,4
2882,645,256443.90709177704,6256236.453064767,17.0,4,4
2888,647,256354.737773966,6256163.414582126,17.0,4,4
2889,647,256355.9783505085,6256162.6070080055,17.0,4,4
2890,647,256357.0441132573,6256160.315677893,17.0,4,4
2891,647,256357.20047524312,6256160.191666368,17.0,4,4
2892,647,256356.76549095992,6256159.522634571,17.0,4,4
2893,647,256356.1194726679,6256160.063118774,17.0,4,4
2893,648,256324.7121039416,6256133.60015113,17.0,4,4
2894,648,256327.37490482297,6256135.577646745,17.0,4,4
2895,648,256329.19630327,6256137.107378492,17.0,4,4
2896,648,256329.56076064348,6256138.356719644,17.0,4,4
2897,648,256329.78464257772,6256139.041743007,17.0,4,4
2898,648,256331.9150062949,6256140.482444781,17.0,4,4
2898,649,256301.9613666608,6256125.795805269,17.0,4,4
2899,649,256303.5332556628,6256124.519939644,17.0,4,4
2900,649,256304.5849403657,6256121.905472248,17.0,4,4
2901,649,256300.76035899503,6256118.697164172,17.0,4,4
2840,637,255743.9828684248,6256152.375075681,17.0,4,2
2841,637,255743.88698736444,6256152.931397686,17.0,4,2
2842,637,255742.24573323329,6256166.243003358,17.0,4,2
2843,637,255741.59718636016,6256167.99969234,17.0,4,2
2844,637,255741.23163554625,6256175.892895616,17.0,4,2
2845,638,255618.84431411643,6256121.660879868,17.0,4,2
2846,638,255618.4171205965,6256121.367111712,17.0,4,2
2847,638,255615.31108337356,6256120.555309053,17.0,4,2
2848,638,255610.36497379065,6256116.99311068,17.0,4,2
2849,638,255606.9355344664,6256115.951044836,17.0,4,2
2850,638,255604.26419108143,6256114.669259256,17.0,4,2
2850,639,255631.54062717312,6256095.585092656,17.0,4,2
2851,639,255629.93330386624,6256098.83325493,17.0,4,2
2852,639,255631.6241557733,6256096.6862333305,17.0,4,2
2853,639,255632.6528269715,6256096.52378054,17.0,4,2
2854,639,255637.43714153627,6256096.879285369,17.0,4,2
2854,640,255701.45695288628,6256124.810863147,17.0,4,2
2855,640,255703.68097661287,6256124.940948391,17.0,4,2
2856,640,255704.9548347493,6256125.56146731,17.0,4,2
2857,640,255705.4251508274,6256126.371117258,17.0,4,2
2858,640,255707.73746987115,6256128.346537045,17.0,4,2
2858,641,255742.96480701608,6256161.486291331,17.0,4,2
2859,641,255744.2924145852,6256162.266956565,17.0,4,2
2860,641,255744.895105299,6256162.65206117,17.0,4,2
2861,641,255747.4108384384,6256163.912704053,17.0,4,2
2862,641,255752.2543012981,6256165.6959175095,17.0,4,2
2863,641,255753.0137298679,6256165.244001984,17.0,4,2
2863,642,255755.50896099868,6256163.611401409,17.0,4,2
2864,642,255754.6394366425,6256164.20193614,17.0,4,2
2865,642,255753.14846223465,6256164.527687429,17.0,4,2
2866,642,255752.05509011415,6256167.388255811,17.0,4,2
2867,642,255752.4875799863,6256170.384060568,17.0,4,2
2868,642,255753.7278148286,6256172.437669891,17.0,4,2
2908,651,255801.60761776057,6256232.218724348,16.0,4,2
