world_index,id_fixation,x,y,zoom,etape,id
261,76,259651.6781984161,6246715.654231751,19.0,2,1
262,76,259651.94884201512,6246714.631540305,19.0,2,1
263,76,259651.94985003053,6246713.334147572,19.0,2,1
264,76,259652.0923389905,6246712.529225899,19.0,2,1
265,76,259652.77695231384,6246710.835984226,19.0,2,1
266,77,259644.288078554,6246717.737940584,19.0,2,1
267,77,259643.92302320528,6246716.575476695,19.0,2,1
268,77,259644.00971253176,6246715.455125213,19.0,2,1
269,77,259643.93860473184,6246715.336207156,19.0,2,1
270,77,259644.94761108677,6246714.792993623,19.0,2,1
270,78,259637.8547532648,6246711.428921537,19.0,2,1
271,78,259638.04429433463,6246710.679393728,19.0,2,1
272,78,259636.90270832388,6246710.6683610855,19.0,2,1
273,78,259636.72020627704,6246711.098499633,19.0,2,1
274,78,259637.22036986265,6246712.372327871,19.0,2,1
275,79,259659.44229200075,6246682.147738176,19.0,2,1
276,79,259659.30598781336,6246681.47631341,19.0,2,1
277,79,259659.40400449964,6246681.369110329,19.0,2,1
278,79,259659.0737342256,6246681.268202005,19.0,2,1
279,80,259633.1150305688,6246690.047620194,19.0,2,1
280,80,259631.5405617308,6246689.540147428,19.0,2,1
281,80,259631.58961278645,6246689.730268321,19.0,2,1
282,80,259630.9815232104,6246689.799433769,19.0,2,1
282,81,259621.24392335964,6246696.658633829,19.0,2,1
283,81,259620.73700265368,6246696.499390884,19.0,2,1
315,90,259374.27144657692,6246976.188869796,17.0,2,3
