world_index,id_fixation,x,y,zoom,etape,id
548,98,259673.15620517096,6246724.902854424,19.0,2,1
549,98,259667.9211539464,6246729.466582325,19.0,2,1
550,98,259664.2526953715,6246734.286886458,19.0,2,1
551,98,259662.40459305825,6246738.134588115,19.0,2,1
551,99,259667.827630617,6246727.956878479,19.0,2,1
552,99,259665.81831417585,6246729.203990037,19.0,2,1
553,99,259662.0181472805,6246728.102628539,19.0,2,1
554,99,259657.1288282615,6246725.466672475,19.0,2,1
555,99,259652.5728719029,6246721.913738448,19.0,2,1
555,100,259668.19147293025,6246739.147361713,19.0,2,1
556,100,259664.7965111505,6246734.970660481,19.0,2,1
557,100,259662.49538278647,6246731.005866727,19.0,2,1
558,100,259659.88393943675,6246728.503224975,19.0,2,1
558,101,259670.9305071137,6246732.28411571,19.0,2,1
559,101,259667.6823226308,6246732.288421132,19.0,2,1
560,101,259662.82068132347,6246735.099496384,19.0,2,1
561,101,259656.92496995567,6246740.122866505,19.0,2,1
562,101,259651.855933746,6246746.423255489,19.0,2,1
563,101,259649.189357078,6246751.530043158,19.0,2,1
563,102,259653.28487249275,6246737.426038696,19.0,2,1
564,102,259652.86263362493,6246738.939029272,19.0,2,1
565,102,259653.0834915129,6246735.95915842,19.0,2,1
566,102,259652.61908684735,6246729.770172225,19.0,2,1
567,102,259652.45491701324,6246722.176119311,19.0,2,1
568,102,259653.12459804025,6246715.251059751,19.0,2,1
569,103,259676.60700075416,6246733.111986819,19.0,2,1
570,103,259676.3299673625,6246729.984386181,19.0,2,1
571,103,259675.8758991263,6246728.326126061,19.0,2,1
572,103,259675.4017047516,6246728.568209935,19.0,2,1
573,103,259674.89906383996,6246730.457771153,19.0,2,1
574,103,259674.14329146163,6246733.401007479,19.0,2,1
575,103,259673.34839441688,6246737.29135972,19.0,2,1
575,104,259657.68308297996,6246735.141820218,19.0,2,1
576,104,259656.01613299796,6246739.770110226,19.0,2,1
577,104,259653.61037604985,6246746.420622262,19.0,2,1
616,112,259663.65603566525,6246701.438997486,19.0,2,1
617,112,259664.13614145244,6246701.405707349,19.0,2,1
618,112,259664.24914169003,6246701.585381827,19.0,2,1
619,112,259664.6850827336,6246701.791561559,19.0,2,1
620,112,259666.13570235448,6246702.527980895,19.0,2,1
621,112,259668.07490192613,6246703.812284377,19.0,2,1
621,113,259673.3455070507,6246705.111003336,19.0,2,1
622,113,259674.78396214644,6246706.352733116,19.0,2,1
623,113,259675.14872705005,6246707.255276384,19.0,2,1
624,113,259674.53949277848,6246708.181480251,19.0,2,1
625,113,259673.6850886537,6246709.382481511,19.0,2,1
642,117,259683.71722555129,6246725.066047019,18.0,2,1
643,117,259684.1714133825,6246724.958488356,18.0,2,1
644,117,259684.04160149783,6246725.517424366,18.0,2,1
644,118,259662.2773867025,6246711.253369694,18.0,2,1
645,118,259660.44638648143,6246712.904422076,18.0,2,1
646,118,259658.61610383063,6246713.992578998,18.0,2,1
647,118,259658.06425809825,6246714.557550288,18.0,2,1
648,118,259658.54872056228,6246715.180567889,18.0,2,1
649,118,259659.95799446572,6246716.041690692,18.0,2,1
650,118,259661.4225212825,6246717.303409931,18.0,2,1
651,118,259662.19182498645,6246718.950887277,18.0,2,1
651,119,259688.2773164816,6246724.882989709,18.0,2,1
652,119,259688.51018512965,6246726.971196172,18.0,2,1
653,119,259684.46684732693,6246728.136158744,18.0,2,1
654,119,259688.10000827693,6246732.044443836,18.0,2,1
747,140,259678.74572208332,6246731.120200804,17.0,2,1
748,140,259679.3259289277,6246732.205243982,17.0,2,1
749,140,259672.91857284945,6246731.701663395,17.0,2,1
750,140,259680.23170766915,6246737.403887057,17.0,2,1
751,140,259677.83406609943,6246740.53408248,17.0,2,1
582,105,259660.96060242012,6246770.340642486,19.0,2,2
583,105,259659.71824903696,6246769.362754336,19.0,2,2
584,105,259658.71785352568,6246768.067533534,19.0,2,2
585,105,259658.05975613356,6246766.642708003,19.0,2,2
586,105,259657.76138356788,6246765.622880431,19.0,2,2
587,106,259670.01271761215,6246772.601719322,19.0,2,2
588,106,259670.86160327969,6246768.7820413485,19.0,2,2
589,106,259672.7248258243,6246763.65126633,19.0,2,2
590,106,259676.06629444647,6246757.75085872,19.0,2,2
591,107,259655.05822789957,6246780.514911628,19.0,2,2
592,107,259656.64908125947,6246775.110934531,19.0,2,2
593,107,259656.12756141485,6246770.870459237,19.0,2,2
594,107,259655.56913795468,6246768.046986677,19.0,2,2
595,107,259655.2485890497,6246765.920089081,19.0,2,2
596,108,259650.28787178564,6246775.406125014,19.0,2,2
597,108,259651.62977950572,6246774.984212897,19.0,2,2
598,108,259653.8012497502,6246776.646663115,19.0,2,2
599,108,259657.9582370208,6246778.45657403,19.0,2,2
600,108,259665.965928638,6246776.315068753,19.0,2,2
600,109,259647.5046899436,6246778.844465627,19.0,2,2
601,109,259653.4597546264,6246775.000608097,19.0,2,2
602,109,259652.5120321923,6246769.73903667,19.0,2,2
609,110,259684.51949471128,6246774.420663934,19.0,2,2
610,110,259681.33859098676,6246767.024891071,19.0,2,2
611,110,259678.73111135868,6246760.953342944,19.0,2,2
612,111,259685.17099729064,6246774.553536171,19.0,2,2
613,111,259684.6672800235,6246770.108611004,19.0,2,2
614,111,259685.08458132425,6246767.264034187,19.0,2,2
615,111,259686.23937404557,6246765.532120601,19.0,2,2
709,133,259688.3035089366,6246793.465802992,18.0,2,2
710,133,259688.4379337732,6246794.196994316,18.0,2,2
711,133,259689.3250898568,6246794.361561377,18.0,2,2
712,133,259689.6482698529,6246793.942359369,18.0,2,2
713,133,259688.48235479192,6246792.350275888,18.0,2,2
714,133,259686.5674330155,6246789.875196524,18.0,2,2
714,134,259642.0743839186,6246789.4538418045,18.0,2,2
715,134,259639.48942233,6246786.6307152165,18.0,2,2
716,134,259637.6499821154,6246784.541124868,18.0,2,2
717,134,259636.71546639185,6246783.384811582,18.0,2,2
718,134,259636.3284909789,6246782.313645699,18.0,2,2
719,134,259636.0312801937,6246781.720650727,18.0,2,2
752,141,259689.086388518,6246788.015273708,17.0,2,2
753,141,259688.0806966545,6246785.136791696,17.0,2,2
754,141,259688.11637014957,6246782.317662998,17.0,2,2
755,141,259687.42892917467,6246783.190655689,16.949575302208824,2,2
756,141,259687.4035224341,6246785.338011814,16.949575302208824,2,2
757,141,259684.899083063,6246788.022147258,16.949575302208824,2,2
758,142,259657.1371455405,6246766.783697719,16.151343374831033,2,2
759,142,259650.46598134187,6246769.775088506,16.151343374831033,2,2
760,142,259646.32300955625,6246773.686214968,16.151343374831033,2,2
761,142,259636.93747691304,6246781.707741547,16.004801097524467,2,2
762,142,259637.5777389273,6246786.03993143,16.004801097524467,2,2
737,138,259379.96407721128,6246991.52106338,17.419235434062397,2,3
738,138,259279.97588264712,6247060.866501901,17.045505230420268,2,3
739,138,259279.480505038,6247059.975090387,17.045505230420268,2,3
740,138,259278.2640123153,6247059.873180731,17.045505230420268,2,3
741,138,259263.051129596,6247070.18992845,17.0,2,3
742,138,259263.735008264,6247070.419269044,17.0,2,3
743,138,259265.01204421176,6247070.164864745,17.0,2,3
763,143,259160.7658984388,6247148.544210884,16.004801097524467,2,3
764,143,259155.1014117496,6247151.099326493,16.0,2,3
765,143,259142.5872590397,6247150.075251162,16.0,2,3
766,143,259144.8390629879,6247154.363297523,16.0,2,3
767,143,259154.91279327017,6247158.754520242,16.0,2,3
767,144,259097.33659238368,6247110.212426949,16.0,2,3
768,144,259098.88353727516,6247110.619289311,16.0,2,3
769,144,259087.5084761649,6247108.816547692,16.0,2,3
770,144,259095.7326519082,6247113.010336068,16.0,2,3
771,144,259094.91284492295,6247115.80563118,16.0,2,3
771,145,259200.0605398428,6247095.173127261,16.0,2,3
772,145,259180.4521454253,6247111.836032269,16.0,2,3
773,145,259203.3785849201,6247104.608305399,16.0,2,3
774,145,259206.26458433544,6247108.306047677,16.0,2,3
775,145,259208.497936476,6247111.448236776,16.0,2,3
776,145,259208.4071809177,6247119.912080999,16.0,2,3
783,147,259345.456547992,6247290.141232532,16.0,2,3
784,147,259339.4538332241,6247292.865334419,16.0,2,3
785,147,259336.70150690508,6247296.05134656,16.0,2,3
786,147,259337.3929713163,6247293.43887811,16.0,2,3
787,147,259339.5218998928,6247289.407004347,16.0,2,3
788,147,259343.58526132395,6247287.505084261,16.0,2,3
789,147,259333.00294454757,6247282.867837438,16.0,2,3
789,148,259443.7826779191,6247238.60871626,16.0,2,3
790,148,259456.04410920263,6247237.383516224,16.0,2,3
791,148,259456.5141519206,6247234.591603943,16.0,2,3
792,148,259456.81525808744,6247233.394850444,16.0,2,3
817,153,259127.44939191156,6247520.288753959,15.0,2,3
818,153,259123.51628657524,6247513.566145328,15.0,2,3
819,153,259124.30848418883,6247508.501124095,15.0,2,3
820,153,259125.83246683064,6247501.577390759,15.0,2,3
821,153,259100.33015497107,6247488.255185549,15.0,2,3
837,156,257653.0097173152,6247292.743828306,15.0,2,4
